Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Extreme Gradient Boosting,0.0116,0.0081,0.0764,0.9981,0.017,0.0028,0.854
Random Forest Regressor,0.0096,0.0124,0.1019,0.9971,0.0203,0.0026,4.604
Decision Tree Regressor,0.0053,0.0177,0.1185,0.9959,0.022,0.0012,0.468
Gradient Boosting Regressor,0.2326,0.157,0.3957,0.9628,0.0788,0.0586,4.127
