Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Decision Tree Regressor,0.0,0.0,0.0,1.0,0.0,0.0,0.294
Gradient Boosting Regressor,0.0,0.0,0.0,0.9,0.0,0.0,0.159
Extreme Gradient Boosting,0.0,0.0,0.0001,0.9,0.0001,0.0,0.009
Random Forest Regressor,0.0025,0.0004,0.0119,0.992,0.0084,0.0016,0.254
