Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Extreme Gradient Boosting,0.0017,0.0021,0.0393,0.9988,0.0095,0.0005,0.645
Gradient Boosting Regressor,0.0128,0.0034,0.0566,0.998,0.0184,0.0032,4.956
Random Forest Regressor,0.0033,0.0058,0.0652,0.9967,0.0174,0.0012,4.573
Decision Tree Regressor,0.0026,0.0146,0.0833,0.9919,0.0157,0.0008,0.485
