Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Decision Tree Regressor,0.0,0.0,0.0,1.0,0.0,0.0,0.445
Extreme Gradient Boosting,0.0,0.0,0.0001,1.0,0.0,0.0,0.483
Random Forest Regressor,0.0005,0.0003,0.0103,0.9998,0.002,0.0001,2.857
Gradient Boosting Regressor,0.0175,0.0031,0.0543,0.9982,0.0156,0.0045,4.103
