Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Adjustment Count P2
575,0,1,0,22,0.5,0.5,False,True,9,10,0,0,0.54,-0.65,0.67,3.34,0.49,0.43,443,227,384,347,6
576,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.99,-6.93,0.3,2.44,0.72,0.27,518,155,411,276,2
577,0,1,0,22,0.82,0.18,False,True,3,4,0,3,-3.62,3.86,0.26,4.89,0.96,0.14,782,740,954,628,7
578,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-5.99,6.3,0.4,3.72,0.7,0.33,444,625,648,746,8
579,0,1,0,22,0.68,0.32,False,True,3,10,0,6,-3.12,3.26,0.2,5.57,2,0.81,379,473,464,648,5
580,0,1,0,22,0.64,0.36,False,True,9,10,0,2,-3.03,3.31,0.09,4.59,0.73,0.14,413,273,381,486,5
581,0,0,0,22,1,0,True,False,9,4,0,0,-8.8,9.29,0.1,0.71,1.08,2.08,376,454,525,699,11
582,0,0,0,22,1,0,True,False,9,2,0,0,-19.59,20.09,0.1,4.04,0.44,0.24,375,428,430,605,1
583,0,1,0,22,0.77,0.23,False,True,3,10,0,0,-4.57,4.81,0.11,2.36,2.06,2.01,1025,413,931,196,7
584,0,1,0,22,0.68,0.32,False,True,3,5,0,0,-3.35,3.73,0.3,0.75,2.74,2.93,613,738,872,701,5
585,0,1,0,22,0.45,0.55,False,True,3,11,0,1,5.21,-5.18,0.32,2.35,0.66,0.15,453,637,598,734,2
586,0,1,0,22,0.45,0.55,False,True,3,10,0,0,4.36,-4.41,0.52,3.13,1.32,0.14,447,629,527,700,4
587,0,1,0,22,0.45,0.55,False,True,3,11,0,0,4.07,-4.14,0.27,2.32,1.19,0.57,420,591,538,707,4
588,0,1,0,22,0.91,0.09,False,True,3,4,0,4,-4.05,4.2,0.13,4.74,2.65,1.11,596,733,799,735,7
589,0,1,0,22,0.82,0.18,False,True,9,10,0,0,-4.91,5.26,0.37,1.84,1.73,1.83,994,286,801,116,6
590,0,1,0,22,0.64,0.36,False,True,9,10,0,0,0.35,-0.26,0.22,2.69,1.08,0.59,856,140,699,100,7
591,0,1,0,22,0.91,0.09,False,True,3,4,0,5,-6.97,7.36,0.33,5.11,0.89,0.16,652,746,915,669,4
592,0,1,0,22,0.45,0.55,False,True,9,10,0,3,4.05,-4.09,0.24,3.89,1.18,0.5,979,259,890,162,5
593,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.98,-6.91,0.33,2.44,0.45,0.21,1005,313,909,176,2
594,0,1,0,22,0.73,0.27,False,True,9,10,0,2,-3.52,3.76,0.31,4.82,2.52,1.11,375,442,455,639,6
595,0,0,0,22,1,0,True,False,9,10,0,1,-8.25,8.57,0.35,3.22,0.75,0.93,984,267,754,105,6
596,0,1,0,22,0.59,0.41,False,True,3,5,0,0,-2.51,2.89,0.63,1.32,0.8,0.81,490,673,766,743,3
597,0,1,0,22,0.73,0.27,False,True,9,10,0,2,-2.64,2.8,0.37,4.39,2.24,0.83,635,106,451,216,4
598,0,1,0,22,0.5,0.5,False,True,9,10,0,3,3.33,-3.26,0.34,4.16,0.83,0,541,142,435,237,5
599,0,1,0,22,0.77,0.23,False,True,3,10,0,4,-3.6,3.87,0.47,4.28,1.45,0.32,1024,397,926,191,3
600,0,1,0,22,0.5,0.5,False,True,9,10,0,5,1.71,-1.85,0.9,5.37,1.26,0.15,1005,311,952,220,4
601,0,0,0,22,1,0,True,False,9,10,0,0,-7.4,7.95,0.39,2.27,0.71,0.22,989,276,759,105,9
602,0,1,0,22,0.77,0.23,False,True,9,10,0,9,-3.33,3.08,0.26,7.29,1.31,0.31,565,130,469,196,5
603,0,1,0,22,0.91,0.09,False,True,9,10,0,0,-3.55,3.63,0.35,3.19,2.99,1.05,432,242,377,393,8
604,0,1,0,22,0.82,0.18,False,True,3,4,0,0,-5.2,5.47,0.36,2.36,1.44,0.79,406,564,584,728,7
605,0,1,0,22,0.68,0.32,False,True,3,10,0,4,-3.63,3.88,0.11,4.86,0.57,0.25,377,460,479,663,4
606,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-1.5,1.39,0.44,3.21,2.42,1.38,968,241,853,138,6
607,0,0,0,22,1,0,True,False,9,2,0,0,-19.75,20.23,0.24,4.04,0.49,0.27,375,420,423,596,1
608,0,1,0,22,0.64,0.36,False,True,9,11,7,0,0.01,0.38,6.26,1.6,0.47,0.14,755,105,505,165,4
609,0,0,0,22,1,0,True,False,9,2,0,0,-19.75,20.23,0.24,4.04,0.49,0.27,375,420,423,596,1
610,0,1,0,22,0.55,0.45,False,True,3,10,0,3,3.62,-3.65,0.17,3.89,1.03,0.38,410,572,495,677,5
611,0,1,0,22,0.91,0.09,False,True,3,4,0,0,-6.65,7.07,0.25,3.15,1.34,0.93,763,744,977,595,7
612,0,1,0,22,0.64,0.32,False,True,3,10,4,0,-2.92,3.3,2.36,0.71,2.77,2.95,375,422,477,662,5
613,0,1,0,22,0.86,0.09,False,True,3,4,0,0,-6.48,6.9,0.28,3.15,1.44,1.11,458,642,693,750,6
614,0,1,0,22,0.68,0.32,False,True,3,4,0,0,-0.74,0.88,0.28,2.67,1.03,0.37,936,648,1023,460,4
615,0,1,0,22,0.73,0.27,False,True,9,10,0,6,-2.08,1.84,0.86,4.29,1.56,1.15,868,147,757,105,8
616,0,1,0,22,0.45,0.55,False,True,3,5,0,0,4.51,-4.59,0.57,2.32,1.86,1.03,785,739,925,659,3
617,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-3.85,4.2,0.23,3.55,0.89,0,814,121,591,119,8
618,0,1,0,22,0.59,0.41,False,True,3,11,0,0,-1.26,1.64,0.55,1.11,0.39,0.24,1025,418,929,195,4
619,0,1,0,22,0.41,0.59,False,True,9,11,0,1,7.47,-7.44,0.3,2.44,0.78,0.38,612,112,479,187,2
620,0,1,0,22,0.86,0.14,False,True,9,10,0,0,-6.11,6.51,0.25,3.15,1.44,1.19,593,118,405,288,6
621,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-3.08,3.21,0.09,5.57,2.35,0.85,375,425,431,608,7
622,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.58,-6.5,0.3,2.44,0.69,0.21,1005,313,909,176,2
623,0,1,0,22,0.41,0.59,False,True,3,5,0,1,6.46,-6.38,0.3,2.44,0.68,0.19,791,737,935,649,2
624,0,1,0,22,0.5,0.5,False,True,9,10,0,3,3.94,-3.98,0.11,3.89,0.99,0.39,596,117,481,185,5
625,0,0,0,22,1,0,True,False,3,4,0,4,-7.64,8.09,0.13,4.07,1.61,0.17,551,714,840,718,3
626,0,1,0,22,0.5,0.5,False,True,3,4,0,4,0.62,-0.6,0.27,4.28,1.71,1.29,739,748,881,695,4
627,0,1,0,22,0.82,0.18,False,True,3,4,0,0,-3.97,4.17,0.1,2.43,1.66,1.63,942,642,1023,458,11
628,0,1,0,22,0.5,0.5,False,True,3,10,0,0,3.65,-3.77,0.08,3.02,1.07,0.59,391,526,438,618,6
629,0,1,0,22,0.68,0.32,False,True,3,4,0,4,-2.18,2.23,0.32,4.67,1.48,0.59,517,694,694,750,4
630,0,1,0,22,0.68,0.32,False,True,9,10,0,11,-1.19,1.13,0.7,8.54,1.8,1.04,983,265,909,176,5
631,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.35,-6.29,0.09,2.44,0.84,0.26,856,140,699,100,3
632,0,1,0,22,0.64,0.36,False,True,3,4,0,0,-2.59,2.76,0.7,2.78,1.56,0.67,530,702,697,750,11
633,1,2,0,22,0.5,0.5,False,True,9,10,0,0,2.38,-2.52,0.09,4.52,1.43,0.23,960,230,893,163,5
634,0,0,0,22,1,0,True,False,3,4,0,7,-6.93,7.41,0.09,5.13,0.56,0,383,499,550,713,4
635,0,1,0,22,0.68,0.32,False,True,3,4,0,3,-1.34,1.3,0.31,4.6,2.09,0.88,943,640,1014,509,4
636,0,1,0,22,0.5,0.5,False,True,9,10,0,0,1.68,-1.86,1.01,4.02,1.07,0,978,257,905,173,5
637,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-1.21,0.98,0.1,5.74,1.27,0.29,490,673,575,725,6
638,0,1,0,22,0.68,0.32,False,True,9,10,0,11,-1.19,1.12,0.66,8.54,1.85,1.1,995,289,930,196,5
639,0,1,0,22,0.86,0.14,False,True,9,10,0,4,-2.87,2.98,0.12,5.2,1.22,0.43,1003,308,908,175,8
640,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.28,-6.19,0.3,2.44,0.67,0.17,415,581,535,705,2
641,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-3.27,3.46,0.1,5.64,2.67,1.06,379,473,464,648,6
642,0,1,0,22,0.55,0.45,False,True,9,10,0,3,2.02,-2.05,0.08,3.89,1.24,0.59,1015,346,956,225,5
643,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-3.09,3.21,0.2,5.57,2.17,0.85,375,425,431,608,6
644,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-3.09,3.21,0.2,5.57,2.17,0.85,375,425,431,608,5
645,0,1,0,22,0.45,0.55,False,True,9,11,0,1,5.1,-5.04,0.65,2.35,0.52,0,999,299,886,158,2
646,0,1,0,22,0.91,0.09,False,True,9,10,0,0,-7.2,7.62,0.26,3.54,1.38,0.2,922,188,668,102,6
647,0,1,0,22,0.82,0.18,False,True,3,4,0,0,-5.21,5.56,0.13,3.46,1.92,0.63,479,664,713,750,5
648,0,1,0,22,0.95,0.05,False,True,9,10,0,3,-7.51,8.08,0.09,3.12,0.88,1.01,1020,368,851,137,7
649,0,1,0,22,0.73,0.27,False,True,3,4,0,4,-2.29,2.45,0.44,4.28,1.31,0.36,888,690,1005,536,3
650,0,1,0,22,0.64,0.36,False,True,3,4,0,0,-1.56,1.61,0.56,3.8,0.96,0.22,496,678,653,747,6
651,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-4.53,4.76,0.11,2.79,2.12,1.7,500,169,380,368,7
652,0,1,0,22,0.55,0.45,False,True,9,10,0,3,0.91,-0.92,0.12,3.89,1.65,0.46,1012,334,944,210,7
653,0,1,0,22,0.5,0.5,False,True,9,10,0,0,1.73,-1.92,0.26,4.02,1.41,0.17,978,257,905,173,6
654,0,1,0,22,0.41,0.59,False,True,9,11,0,1,7.03,-6.98,0.3,2.44,0.72,0.28,487,179,396,311,2
655,0,1,0,22,0.59,0.41,False,True,3,4,0,0,1.02,-0.94,0.18,2.69,1.07,0.48,998,555,1025,441,7
656,0,1,0,22,0.91,0.09,False,True,9,10,0,6,-6.15,6.48,0.1,4.88,1.59,0.52,376,452,491,674,2
657,0,1,0,22,0.64,0.36,False,True,9,10,0,0,-1.69,1.99,0.08,3.06,0.73,0.14,756,105,544,140,5
658,0,1,0,22,0.68,0.32,False,True,3,10,0,4,-2.33,2.4,0.32,4.67,1.48,0.57,402,556,524,698,4
659,0,1,0,22,0.55,0.45,False,True,9,10,0,3,4.08,-4.2,0.11,3.9,1.03,0.42,596,117,503,167,4
660,0,1,0,22,0.68,0.32,False,True,9,10,0,11,-1.3,1.23,0.71,8.54,1.89,1.04,441,229,389,332,7
661,0,1,0,22,0.41,0.55,False,True,3,4,0,0,3.56,-3.64,0.12,3.13,2.59,1.37,651,746,747,747,6
662,0,1,0,22,0.82,0.18,False,True,3,10,0,0,-5.12,5.45,0.13,3.46,2.33,0.9,1023,392,909,177,6
663,0,1,0,22,0.5,0.5,False,True,3,5,0,0,2.74,-2.78,0.28,2.04,2.36,1.66,894,686,990,572,4
664,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.64,-6.56,0.3,2.44,0.69,0.21,986,270,872,149,2
665,0,0,0,22,1,0,True,False,3,4,0,3,-7.3,7.69,0.11,3.88,1.43,0.58,902,680,1024,451,6
666,0,1,0,22,0.55,0.45,False,True,9,10,0,0,0.97,-1.11,0.26,3.04,1.55,0.99,1015,343,960,230,6
667,0,1,0,22,0.64,0.36,False,True,2,4,0,0,1.69,-1.56,1.65,1.07,1.91,0.82,756,745,951,631,3
668,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-5.98,6.29,0.4,3.72,0.7,0.33,921,664,1024,450,8
669,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-5.98,6.3,0.24,3.54,1.24,0.19,918,666,1025,437,5
670,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-4.48,4.62,0.55,3.13,1.38,0.88,436,614,599,734,11
671,0,1,0,22,0.5,0.45,False,True,3,10,0,5,-0.58,0.59,0.1,5.67,1.33,0.23,388,517,454,637,7
672,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-6.72,7.07,0.09,3.69,1.51,0.4,375,411,463,647,7
673,0,1,0,22,0.5,0.5,False,True,3,10,0,0,2.76,-2.8,0.28,2.04,2.36,1.66,385,506,454,637,4
674,0,1,0,22,0.5,0.5,False,True,3,10,0,0,2.65,-2.69,0.28,2.04,2.35,1.66,413,577,511,689,4
675,0,1,0,22,0.41,0.59,False,True,3,5,0,0,6.91,-7.03,0.32,1.09,3.75,3.29,843,717,938,646,4
676,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.55,2.61,0.35,4.67,1.57,0.61,757,105,572,126,3
677,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2.24,2.57,0.08,3.06,0.68,0,435,237,376,452,6
678,0,1,0,22,0.45,0.55,False,True,3,10,0,0,4.2,-4.23,0.54,3.13,1.13,0,447,629,529,701,4
679,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.64,-6.56,0.3,2.44,0.69,0.21,986,270,872,149,2
680,0,1,0,22,0.45,0.55,False,True,1,11,0,0,15.59,-15.68,1.08,2.32,0.6,0.31,392,321,379,478,2
681,0,1,0,22,0.64,0.36,False,True,9,10,0,0,-1.05,0.91,0.21,4.39,2.14,0.77,1022,383,985,268,6
682,1,2,0,22,0.68,0.27,False,True,9,10,0,0,-2.83,2.94,0.25,3.23,1.6,0.91,708,100,538,143,10
683,0,1,0,22,0.55,0.45,False,True,3,4,0,0,1.94,-2.09,0.3,2.93,0.95,0.84,821,727,904,678,9
684,0,1,0,22,0.5,0.5,False,True,3,4,0,0,1.29,-1.44,0.26,3.04,1.52,1.03,781,740,890,689,5
685,0,1,0,22,0.55,0.45,False,True,9,10,0,3,4.11,-4.22,0.11,3.9,1.03,0.42,453,213,399,303,5
686,0,0,0,22,1,0,True,False,3,4,0,0,-5.4,5.78,0.1,4.29,0.68,0.14,397,542,561,719,8
687,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-3.66,4.03,0.21,3.55,0.69,0.21,768,107,539,143,4
688,0,1,0,22,0.91,0.09,False,True,9,10,0,7,-5.7,5.95,0.2,5.57,0.3,0.34,807,118,577,124,4
689,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.57,-6.49,0.3,2.44,0.68,0.2,407,285,376,450,2
690,0,1,0,22,0.68,0.32,False,True,3,10,0,6,-3.12,3.26,0.2,5.57,2,0.81,379,473,464,648,5
691,0,1,0,22,0.32,0.68,False,True,9,10,0,0,7.04,-7.13,0.3,0.7,2.44,2.41,434,238,392,322,6
692,0,1,0,22,0.73,0.27,False,True,9,10,0,4,-2.86,3.04,0.38,4.28,2.63,1.14,376,395,420,590,5
693,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-3,3.12,0.2,5.57,2.19,0.87,471,195,381,362,6
694,0,1,0,22,0.45,0.55,False,True,3,10,0,0,5.3,-5.37,0.14,3.13,1.43,0.2,428,602,493,676,5
695,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-0.49,0.45,0.17,5.69,1.22,0,978,257,905,173,8
696,0,0,0,22,1,0,True,False,9,10,0,4,-7.13,7.62,0.1,3.87,1.48,0.82,1004,310,802,116,6
697,0,0,0,22,1,0,True,False,3,4,0,4,-5.13,5.44,0.1,4.65,2.93,1.09,686,750,881,695,7
698,0,1,0,22,0.68,0.32,False,True,3,4,0,1,-1.2,1.32,0.1,4.35,1.39,0.55,425,598,571,723,5
699,0,1,0,22,0.82,0.18,False,True,3,10,0,0,-4.85,5.18,0.13,3.46,1.94,0.67,376,448,483,667,6
700,0,1,0,22,0.55,0.45,False,True,9,10,0,0,1.32,-1.41,0.09,4.52,1.09,0,933,199,844,134,5
701,0,1,0,22,0.77,0.23,False,True,9,10,0,9,-3.14,2.88,0.24,7.57,1.18,0.31,565,130,469,196,3
702,0,1,0,22,0.55,0.45,False,True,9,10,0,3,0.18,-0.19,0.75,3.89,1.65,0.46,961,231,853,138,6
703,0,1,0,22,0.5,0.5,False,True,3,10,0,0,0.12,-0.16,2.37,2.04,1.83,0.97,1025,412,984,268,6
704,0,1,0,22,0.55,0.45,False,True,3,10,0,3,3.5,-3.52,0.17,3.89,1.07,0.24,388,517,454,637,5
705,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-3.1,3.39,0.95,3.06,0.64,0,421,259,378,469,5
706,0,1,0,22,0.82,0.18,False,True,3,4,0,4,-3.55,3.67,0.47,4.07,1.99,0.8,444,625,606,736,6
707,0,0,0,22,1,0,True,False,3,4,0,0,-7.35,7.58,0.26,3.24,1.41,0,503,683,757,745,5
708,0,1,0,22,0.41,0.59,False,True,9,10,0,0,3.13,-3.32,1.93,2.72,1.44,0.27,486,181,427,249,3
