Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Extreme Gradient Boosting,0.0046,0.0093,0.0778,0.9984,0.0254,0.0012,1.12
Decision Tree Regressor,0.0049,0.0266,0.1087,0.9954,0.0214,0.0013,0.331
Random Forest Regressor,0.0096,0.0147,0.1091,0.9974,0.0318,0.0027,4.752
Gradient Boosting Regressor,0.0678,0.0374,0.1851,0.9935,0.0549,0.0225,5.681
